Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend,Ave,Upper,Lower
DHFL,EQ,199.95,207.0,216.85,207.0,212.4,212.75,211.97,21239611,4502100067.05,180610,2938918,13.84,6.401600400100027,Among top gainers,226.979,252.906,201.051
DHFL,EQ,212.75,214.0,219.8,212.65,217.8,217.7,216.52,10513054,2276326267.1,87344,1375131,13.08,2.3266745005875444,Positive,225.275,250.193,200.357
DHFL,EQ,217.7,219.0,227.7,216.2,222.9,224.2,223.24,14753395,3293490147.6,120855,1701748,11.53,2.9857602204869105,Positive,224.346,248.3,200.393
DHFL,EQ,224.2,222.85,222.85,206.45,211.8,210.9,214.23,12582126,2695465412.15,107148,1853728,14.73,-5.932203389830503,Among top losers,222.346,245.735,198.958
DHFL,EQ,210.9,209.5,209.8,202.5,205.1,205.65,205.18,8320311,1707149283.2,69441,1325403,15.93,-2.48933143669986,Negative,219.582,240.816,198.348
DHFL,EQ,205.65,208.0,210.0,200.1,201.65,202.6,204.54,7328622,1499032833.1,64067,925714,12.63,-1.483102358375887,Negative,217.957,240.717,195.197
DHFL,EQ,202.6,195.0,201.0,193.0,198.3,198.2,197.46,7910948,1562094128.75,70965,1437360,18.17,-2.171767028627836,Negative,215.586,239.214,191.957
DHFL,EQ,198.2,194.0,209.95,193.5,207.3,206.45,205.25,11057807,2269667873.55,91809,1219932,11.03,4.162462159434921,Among top gainers,214.239,237.63,190.848
DHFL,EQ,206.45,211.0,215.6,209.1,214.1,213.85,212.91,8408588,1790238605.45,67650,1599098,19.02,3.5844030031484624,Among top gainers,212.739,232.908,192.571
DHFL,EQ,213.85,218.1,228.7,216.5,219.0,218.45,222.62,14433085,3213158466.75,120179,1658720,11.49,2.151040448912789,Positive,211.718,228.721,194.715
DHFL,EQ,218.45,219.0,221.0,215.3,215.6,216.65,217.94,6428148,1400951166.7,56722,1148996,17.87,-0.8239871824216038,Slight negative,211.307,227.455,195.159
DHFL,EQ,216.65,217.8,219.75,214.1,217.95,218.0,217.27,4724600,1026520050.1,39403,651063,13.78,0.6231248557581281,Slight positive,211.021,226.481,195.562
DHFL,EQ,218.0,215.95,218.8,213.35,214.0,214.05,215.63,4581599,987936376.2,48873,1080192,23.58,-1.8119266055045768,Negative,211.386,226.876,195.896
DHFL,EQ,214.05,216.45,230.0,216.25,226.0,227.4,224.5,17094676,3837757436.25,137301,2781399,16.27,6.236860546601263,Among top gainers,213.346,229.534,197.159
DHFL,EQ,227.4,224.55,242.3,222.85,238.5,238.15,235.79,24128201,5689081342.85,188693,3386908,14.04,4.727352682497799,Among top gainers,215.161,236.067,194.255
DHFL,EQ,238.15,239.55,245.7,232.35,240.5,240.65,239.63,20483987,4908549645.1,154454,3472157,16.95,1.0497585555322209,Positive,216.8,241.768,191.832
DHFL,EQ,240.65,243.1,244.45,232.65,236.0,234.6,237.99,8610047,2049079510.3,61000,918463,10.67,-2.514024516933311,Negative,217.543,244.032,191.054
DHFL,EQ,234.6,232.0,239.3,226.55,239.0,237.95,233.17,10561279,2462552447.05,81283,884909,8.38,1.4279624893435594,Positive,219.475,247.762,191.188
DHFL,EQ,237.95,241.4,243.35,237.5,237.7,239.65,239.9,10126105,2429232001.5,58897,3523101,34.79,0.7144358058415623,Slight positive,221.904,250.907,192.901
DHFL,EQ,239.65,241.0,243.5,237.5,240.6,240.35,240.8,6458677,1555270340.5,48378,930642,14.41,0.29209263509284433,Slight or No change,224.6,252.882,196.318
DHFL,EQ,240.35,244.25,252.4,244.25,248.5,249.4,248.72,17694140,4400966907.3,127973,2326620,13.15,3.7653422092781335,Among top gainers,228.257,255.035,201.479
